May 16 19:33:10 research21 systemd[1]: Started snap.k8s.kube-controller-manager.service - Service for snap application k8s.kube-controller-manager.
May 16 19:33:10 research21 k8s.kube-controller-manager[36373]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:10 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:14 research21 k8s.kube-controller-manager[36994]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:14 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:18 research21 k8s.kube-controller-manager[37279]: Error from server (Forbidden): forbidden: User "system:node:research21" cannot get path "/readyz"
May 16 19:33:18 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + ulimit -c unlimited
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + export GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + [[ -f /var/snap/k8s/common/args/kube-controller-manager-env ]]
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + exec /snap/k8s/2500/bin/kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller.conf --authorization-kubeconfig=/etc/kubernetes/controller.conf --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --kubeconfig=/etc/kubernetes/controller.conf --leader-elect-lease-duration=30s --leader-elect-renew-deadline=15s --profiling=false --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/serviceaccount.key --terminated-pod-gc-threshold=12500 --tls-min-version=VersionTLS12 --use-service-account-credentials=true
May 16 19:33:23 research21 k8s.kube-controller-manager[36331]: I0516 19:33:23.577344   36331 serving.go:386] Generated self-signed cert in-memory
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.198241   36331 shared_informer.go:320] Caches are synced for endpoint_slice
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.230269   36331 shared_informer.go:320] Caches are synced for resource quota
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.298899   36331 shared_informer.go:320] Caches are synced for garbage collector
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.298944   36331 garbagecollector.go:154] "Garbage collector: all resource monitors have synced" logger="garbage-collector-controller"
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.298963   36331 garbagecollector.go:157] "Proceeding to collect garbage" logger="garbage-collector-controller"
May 16 19:33:31 research21 k8s.kube-controller-manager[36331]: I0516 19:33:31.329732   36331 shared_informer.go:320] Caches are synced for garbage collector
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.159554   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="727.548023ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.184694   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="752.333339ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.259382   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="811.130059ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.293450   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="839.52518ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.342320   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="48.793246ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.366299   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="104.687µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.382063   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="76.368µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.452895   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="193.44643ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.453127   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="153.035µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.506371   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="346.720274ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.510175   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="121.933µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.521134   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="336.353266ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.690720   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="165.199257ms"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.692010   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="119.653µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.721485   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="99.741µs"
May 16 19:33:32 research21 k8s.kube-controller-manager[36331]: I0516 19:33:32.738299   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="81.5µs"
May 16 19:33:52 research21 k8s.kube-controller-manager[36331]: I0516 19:33:52.559854   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="85.629µs"
May 16 19:33:53 research21 k8s.kube-controller-manager[36331]: I0516 19:33:53.631769   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="34.096428ms"
May 16 19:33:53 research21 k8s.kube-controller-manager[36331]: I0516 19:33:53.632022   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="170.123µs"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.180301   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.181623   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="ciliumnetworkpolicies.cilium.io"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.181689   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="ciliumendpoints.cilium.io"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.181766   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="ciliumnodeconfigs.cilium.io"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.181839   36331 shared_informer.go:313] Waiting for caches to sync for resource quota
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.185305   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.193766   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.194172   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumnetworkpolicies"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.200417   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumendpoints"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.230432   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.232302   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumnodeconfigs"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.282009   36331 shared_informer.go:320] Caches are synced for resource quota
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.345377   36331 garbagecollector.go:787] "failed to discover some groups" logger="garbage-collector-controller" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.361614   36331 shared_informer.go:313] Waiting for caches to sync for garbage collector
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.364137   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.368573   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumclusterwidenetworkpolicies"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.379505   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.379987   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.380113   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.386204   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumnodes"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.387816   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumidentities"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.392731   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2alpha1, Resource=ciliumloadbalancerippools"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.396597   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.403657   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2alpha1, Resource=ciliumcidrgroups"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.410152   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.412192   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2, Resource=ciliumexternalworkloads"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.424659   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.428577   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2alpha1, Resource=ciliumpodippools"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: W0516 19:34:01.435878   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: E0516 19:34:01.439244   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="cilium.io/v2alpha1, Resource=ciliuml2announcementpolicies"
May 16 19:34:01 research21 k8s.kube-controller-manager[36331]: I0516 19:34:01.462576   36331 shared_informer.go:320] Caches are synced for garbage collector
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.417704   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="135.949772ms"
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.665927   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="261.794694ms"
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.671702   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="253.926769ms"
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.674388   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="97.275µs"
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.745448   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="79.44331ms"
May 16 19:34:28 research21 k8s.kube-controller-manager[36331]: I0516 19:34:28.746740   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="86.488µs"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.200717   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="81.079µs"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.216590   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="76.929µs"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.287186   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="85.082µs"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: E0516 19:34:31.309787   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.503653   36331 garbagecollector.go:787] "failed to discover some groups" logger="garbage-collector-controller" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.907617   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="105.794µs"
May 16 19:34:31 research21 k8s.kube-controller-manager[36331]: I0516 19:34:31.954339   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6978488575" duration="80.177µs"
May 16 19:34:32 research21 k8s.kube-controller-manager[36331]: I0516 19:34:32.818003   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="83.698µs"
May 16 19:34:33 research21 k8s.kube-controller-manager[36331]: I0516 19:34:33.795391   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="15.441555ms"
May 16 19:34:33 research21 k8s.kube-controller-manager[36331]: I0516 19:34:33.799207   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/cilium-operator-6f799b7b4" duration="63.339µs"
May 16 19:35:01 research21 k8s.kube-controller-manager[36331]: E0516 19:35:01.327444   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:35:01 research21 k8s.kube-controller-manager[36331]: I0516 19:35:01.544627   36331 garbagecollector.go:787] "failed to discover some groups" logger="garbage-collector-controller" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
May 16 19:35:05 research21 k8s.kube-controller-manager[36331]: I0516 19:35:05.769581   36331 node_lifecycle_controller.go:1057] "Controller detected that some Nodes are Ready. Exiting master disruption mode" logger="node-lifecycle-controller"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.018835   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="579.585µs"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.084727   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="91.119µs"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.092169   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="84.796µs"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.325447   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="90.105µs"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.697657   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="653.922µs"
May 16 19:35:11 research21 k8s.kube-controller-manager[36331]: I0516 19:35:11.800149   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="97.805µs"
May 16 19:35:31 research21 k8s.kube-controller-manager[36331]: E0516 19:35:31.364726   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:35:31 research21 k8s.kube-controller-manager[36331]: I0516 19:35:31.590694   36331 garbagecollector.go:787] "failed to discover some groups" logger="garbage-collector-controller" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
May 16 19:35:45 research21 k8s.kube-controller-manager[36331]: I0516 19:35:45.728703   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="2.261988ms"
May 16 19:35:45 research21 k8s.kube-controller-manager[36331]: I0516 19:35:45.899566   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="74.864µs"
May 16 19:35:49 research21 k8s.kube-controller-manager[36331]: I0516 19:35:49.819735   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="87.131µs"
May 16 19:35:55 research21 k8s.kube-controller-manager[36331]: W0516 19:35:55.132619   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:35:55 research21 k8s.kube-controller-manager[36331]: E0516 19:35:55.134436   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:36:00 research21 k8s.kube-controller-manager[36331]: I0516 19:36:00.825390   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="31.264839ms"
May 16 19:36:00 research21 k8s.kube-controller-manager[36331]: I0516 19:36:00.830315   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="metallb-system/metallb-controller-86cb6b5b76" duration="86.057µs"
May 16 19:36:00 research21 k8s.kube-controller-manager[36331]: W0516 19:36:00.915248   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:36:00 research21 k8s.kube-controller-manager[36331]: E0516 19:36:00.918328   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:36:01 research21 k8s.kube-controller-manager[36331]: E0516 19:36:01.373477   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:36:01 research21 k8s.kube-controller-manager[36331]: I0516 19:36:01.606507   36331 garbagecollector.go:787] "failed to discover some groups" logger="garbage-collector-controller" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
May 16 19:36:06 research21 k8s.kube-controller-manager[36331]: I0516 19:36:06.762880   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="22.276657ms"
May 16 19:36:06 research21 k8s.kube-controller-manager[36331]: I0516 19:36:06.767611   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/metrics-server-8694c96fb7" duration="81.754µs"
May 16 19:36:07 research21 k8s.kube-controller-manager[36331]: W0516 19:36:07.954050   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:36:07 research21 k8s.kube-controller-manager[36331]: E0516 19:36:07.956317   36331 metadata.go:231] "The watchlist request ended with an error, falling back to the standard LIST semantics" err="ListOptions.meta.k8s.io \"\" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled" resource="metallb.io/v1beta2, Resource=bgppeers"
May 16 19:36:17 research21 k8s.kube-controller-manager[36331]: I0516 19:36:17.795630   36331 replica_set.go:679] "Finished syncing" logger="replicaset-controller" kind="ReplicaSet" key="kube-system/coredns-56d5ddcf86" duration="42.524001ms"
